ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;709;0;5;02;00;00; 4;74; 1; 1; 2;02;1;090;03
2018;710;0;1;04;00;03;10;61; 1; 1; 1;03;1;250;07
2018;711;0;3;04;02;02; 7;37; 1; 2; 1;02;1;100;04
2018;712;0;1;03;00;01; 6;55; 6; 4; 1;02;1;075;05
2018;713;1;1;02;00;00; 4;74; 1; 4; 2;03;1;068;05
2018;714;1;1;02;00;01; 4;66; 1; 4; 1;07;2;198;08
2018;715;0;1;02;00;00; 5;61; 1; 2; 2;-9;1;070;06
2018;716;0;2;04;01;02; 7;46; 1; 4; 1;06;2;120;07
2018;717;0;1;01;00;00; 1;79; 6; 3; 2;02;3;090;02
2018;718;0;4;01;00;01; 2;48; 6; 4; 1;04;2;069;04
2018;719;0;4;04;01;01; 7;45; 1; 3; 1;03;2;105;03
2018;720;0;1;02;00;00; 4;66; 1; 4; 2;06;1;110;07
2018;721;0;2;02;00;01; 4;64; 1; 3; 1;05;1;090;07
2018;722;0;5;03;00;01; 6;51; 6; 4; 1;04;1;140;06
2018;723;0;5;02;00;00; 4;65; 1; 1; 2;02;1;105;02
2018;724;0;5;04;02;02; 7;43; 6; 4; 1;04;2;120;07
2018;725;0;4;03;01;02; 6;37; 1; 3; 1;04;2;105;06
2018;726;0;5;01;00;00; 1;70; 6; 1; 2;02;1; -9;02
2018;727;0;2;01;00;00; 1;78; 6; 1; 2;02;1;090;02
2018;728;0;3;02;00;01;10;57; 6; 3; 1;04;2;123;04
2018;729;0;1;05;03;02; 8;41; 1; 4; 1;05;2;085;07
2018;730;0;4;08;02;02;10;25; 1; 2; 1;02;3;090;05
2018;731;0;3;04;02;01; 7;31; 6; 2; 2;01;2;080;03
2018;732;0;2;02;00;01; 5;58; 1; 2; 1;05;1;090;06
2018;733;0;1;03;00;00;10;69; 1; 1; 2;03;1;079;04
2018;734;0;4;03;01;01;10;35; 6; 2; 1;02;6; -9;02
2018;735;0;5;01;00;00; 2;63; 1; 1; 2;03;1;085;03
2018;736;0;1;02;00;02; 5;37; 6; 4; 1;03;2;080;06
2018;737;0;1;03;00;01;10;55; 6; 3; 1;02;1;060;04
2018;738;0;4;02;00;00;10;84; 1; 1; 2;03;1;180;03
2018;739;0;1;04;00;02;10;53; 6; 4; 1;03;2;080;06
2018;740;0;1;04;00;01; 7;55; 1; 2; 1;04;1;112;04
2018;741;0;5;03;00;02;10;54; 1; 3; 1;03;1;080;05
2018;742;0;5;03;00;01; 6;42; 1; 2; 1;02;3;118;02
2018;743;0;4;03;00;01;10;60; 1; 3; 1;04;1;090;04
2018;744;0;5;07;02;02; 8;47; 1; 4; 1;05;1;140;07
2018;745;0;1;03;01;02; 6;35; 1; 4; 1;04;2;092;07
2018;746;0;3;02;00;02;10;39; 1; 2; 1;03;3;100;05
